Wm,W0m,dm,tm,rows,Xa,Ya,gain,vswr,bandwidth,s,pr,p0
2142.9,162.86,351.43,214.29,5.0,5954.3,2142.9,2.8253577,1.0610411,122.01019999999963,-30.569281,0.21251878,0.49847136
2142.9,162.86,351.43,214.29,5.0,5954.3,6964.3,2.9440047000000003,1.2502148000000002,123.68990000000046,-19.078219,0.21282634,0.49040081
2142.9,162.86,351.43,214.29,5.0,8365.0,2142.9,2.8199607999999996,1.0533496,122.00999999999995,-31.706636,0.21236694,0.49867199
2142.9,162.86,351.43,214.29,5.0,8365.0,6964.3,2.9414131,1.2427138999999998,123.69010000000058,-19.313585,0.21288510000000002,0.49080796
2142.9,162.86,351.43,214.29,5.0,10776.0,2142.9,2.8132994,1.0523037,121.80009999999974,-31.874189,0.21191769,0.49869388
2142.9,162.86,77.143,214.29,3.0,3543.5,16607.0,2.4477972,1.9351677,104.36990000000002,-9.9348688,0.19140944,0.49039428
2142.9,162.86,351.43,214.29,5.0,10776.0,6964.3,2.9365429,1.2421969,123.48010000000009,-19.330102,0.21268372,0.49083407
2142.9,162.86,351.43,214.29,7.0,0.0,2142.9,1.4328942,6.9854833,,-2.5040398999999995,0.066392436,0.21438948
2142.9,162.86,351.43,214.29,7.0,1132.8,2142.9,2.8899379,1.0452724,122.21999999999954,-33.098351,0.21553719,0.49977872
2142.9,162.86,351.43,214.29,7.0,3543.5,2142.9,2.8950211,1.1569608,122.8498999999994,-22.761021,0.21554079999999998,0.49889052
2142.9,162.86,351.43,214.29,7.0,5954.3,2142.9,2.8881553,1.1657871000000002,122.84989999999985,-22.321301000000002,0.21523072,0.49871362
2142.9,162.86,351.43,214.29,7.0,8365.0,2142.9,2.8818121,1.1739754999999998,122.84999999999968,-21.935333,0.21490161,0.49854308
2142.9,162.86,351.43,214.29,7.0,10776.0,2142.9,2.8736089,1.175374,122.64019999999931,-21.871376,0.21448954,0.49851566
2142.9,162.86,488.57,214.29,3.0,0.0,2142.9,2.7528041,1.3682635,111.72009999999987,-16.165426999999998,0.20245194,0.48407107
2142.9,162.86,488.57,214.29,3.0,0.0,6964.3,1.436656,7.303622,,-2.3935482000000006,0.064110575,0.20690755
2142.9,162.86,488.57,214.29,3.0,0.0,11786.0,2.90577,1.7084244999999998,116.33989999999983,-11.648463000000001,0.20370558,0.47170189
2142.9,162.86,77.143,214.29,3.0,5954.3,2142.9,2.9069562,1.2291569,122.6398000000004,-19.760154999999997,0.21527273,0.49701075
2142.9,162.86,488.57,214.29,3.0,0.0,16607.0,2.5210895,2.5626778999999997,75.38989999999978,-7.158141900000001,0.18948422,0.48011319
2142.9,162.86,488.57,214.29,3.0,1132.8,2142.9,2.8607527000000004,1.170279,122.43010000000032,-22.107088,0.21396336,0.49857155
2142.9,162.86,488.57,214.29,3.0,1132.8,6964.3,2.8246121,1.3132666000000002,124.32009999999983,-17.366231,0.20732644,0.48678325
2142.9,162.86,488.57,214.29,3.0,1132.8,11786.0,2.9178851000000003,1.4377065,123.48009999999965,-14.915968,0.21152256,0.48815348
2142.9,162.86,488.57,214.29,3.0,1132.8,16607.0,2.7108803,2.0945558999999996,96.5997999999999,-9.0272074,0.20323436,0.49291421
2142.9,162.86,488.57,214.29,3.0,3543.5,2142.9,2.8639842,1.2234277,122.4299000000002,-19.957719,0.21351973,0.49719443
2142.9,162.86,488.57,214.29,3.0,3543.5,6964.3,2.8345403,1.2402018,124.53029999999998,-19.394218,0.20964021,0.49093950000000003
2142.9,162.86,488.57,214.29,3.0,3543.5,11786.0,2.9200672,1.4435372,123.48010000000009,-14.821778,0.21150619,0.48783823
2142.9,162.86,488.57,214.29,3.0,3543.5,16607.0,2.85046,1.9137868999999998,105.41989999999979,-10.072258,0.20982791,0.49269766
2142.9,162.86,488.57,214.29,3.0,5954.3,2142.9,2.8598798999999997,1.2316359,122.43029999999999,-19.676348,0.21324113,0.49694596
